Animal,Sex,DOB,MWM,InVivoMRI,ExVivoMRI,AgeatMWM,AgeExVivo,Weight,Genotype,DWI,GRE,Probe_d5,Probe_d8,A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Preopt,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,5N,PnO,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnC,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,4V,MiTg,PT,LDVL,LP,Athal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA
191028_6:1,male,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,30.3,APOE22,N57700,N57701,19.15541592,17.77159434,55.6355,42.976,46.0135,70.591,40.0985,57.561,77.5355,177.65,174.295,152.15,152.465,148.63,97.891,117.185,435.185,220.385,99.708,110.617,218.975,267.915,184.235,74.712,70.2415,147.615,216.08,96.932,137.97,144.785,220.8,106.2165,119.725,175.945,288.875,199.22,121.14,136.315,267.355,171.76,115.255,175.31,110.61,382.59,116.292,128.115,97.8385,110.1,58.3835,60.348,146.67,64.724,478.495,31.691,192.74,119.7,142.35,50.0715,706.45,93.3655,186.745,258.98,40.5025,227.755,86.2975,364.02,286.765,117.33,45.043,87.8595,154.05,38.7775,52.915,206.895,83.2095,27.182,47.072,52.4785,66.512,96.696,38.9595,67.757,332.77,231.375,60.0375,20.3715,188.005,37.555,28.568,33.382,303.05,32.627,433.13,60.8055,40.03,36.7985,56.115,42.777,30.02,44.544,104.9385,71.2505,34.111,35.28,28.997,135.505,43.105,55.425,90.263,29.6185,84.0595,86.013,63.854,104.6155,75.363,120.145,89.1295,153.475,52.9305,105.0885,169.965,116.6,621.04,52.755,44.5045,93.1375,104.555,23.63,99.7135,28.8045,47.9535,25.177,36.5545,61.514,125.57,78.6485,113.695,70.413,40.778,44.21,27.134,114.5335,111.275,48.057,62.1195,121.97,66.2375,66.6915,206.81,146.545,68.5425,31.6255,53.5345,47.264,92.157,37.735,27.1575,37.1905,43.939,29.5015,16.894,33.63,64.675,79.043,67.787,33.523,23.9325,79.47
190909_11:1,female,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,36.2,APOE33,N57582,N57583,17.24770323,18.99546626,62.133,40.441,45.35,61.03,35.395,64.502,85.687,161.7,166.02,153.2,146.15,145.94,65.602,121.82,502.67,229.58,93.236,91.524,226.81,272.3,184.08,76.775,54.239,147,218.58,102.25,145.76,153.22,219.87,128.56,131.78,144.14,256.24,200.64,123.18,136.74,233.44,184.07,116.4,199.11,105.18,418.93,93.444,128.82,89.367,101.1,57.387,37.791,137.35,45.525,493.02,34.416,194.22,130.01,147.72,49.613,643.38,90.231,171.71,223.45,36.363,221.48,84.812,381.41,303.65,118.75,50.546,100.3,140.44,37.366,50.029,196.67,68.862,24.513,44.643,51.333,75.906,90.262,36.187,64.668,311.23,209.47,49.663,21.732,187.78,43.601,29.842,32.961,307.39,31.938,437.84,59.516,37.019,36.525,54.038,38.962,26.665,40.629,97.407,61.022,36.353,36.685,26.57,139.73,42.293,50.211,92.127,38.688,78.556,95.207,63.132,94.871,70.949,101.84,89.343,153.45,40.793,99.187,151.13,126.69,615.14,53.831,32.911,104.58,97.25,27.243,104.42,30.649,45.431,20.475,34.246,56.164,122.25,77.552,107.73,66.362,29.915,41.67,27.091,96.937,118.49,44.473,54.828,121.37,63.083,60.281,191.9,148,59.268,31.484,52.827,40.446,104.98,46.348,25.562,35.43,45.561,28.205,16.927,31.097,59.569,70.565,62.252,27.804,18.624,77.464
190909_12:1,female,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,30.4,APOE33,N57584,N57585,14.79669699,14.41589883,58.224,40.323,44.392,51.776,38.964,41.702,63.382,195.44,182.55,160.07,247.63,182.57,95.17,169.22,402.34,237,104.29,83.801,254.62,265.54,170.26,75.437,85.451,158.8,237.76,103.82,116.06,177.71,260.99,112.68,176.68,164.43,250.28,215.06,141.85,151.88,303.5,196.93,122.04,197.82,94.482,480.3,101.37,152.49,87.007,94.487,42.747,53.7,128.99,62.893,442.19,27.207,176.15,105.44,143.05,49.925,701.72,99.593,179.16,254.57,32.024,228.16,98.613,331.31,294.81,118.17,46.99,75.232,161.24,50.449,52.389,213.19,78.373,30.907,46.268,55.507,73.396,113.48,35.099,63.175,313.07,213.06,56.484,21.366,190.86,33.625,34.064,33.164,302.69,35.96,453.7,75.138,36.965,30.673,57.596,40.455,35.076,50.264,100.16,70.474,42.656,35.556,48.374,147.94,51.158,63.783,86.501,21.767,73.814,78.444,68.362,105.22,74.924,136.19,111.3,164.87,63.492,89.025,150.45,101.04,579.33,42.787,31.42,107.25,118.37,39.603,112.12,33.465,48.599,28.374,31.819,56.426,124.15,74.261,114.92,100.96,36.116,45.353,25.933,103.6,112.74,57.905,55.988,128.39,69.985,54.287,220.09,131.55,65.323,27.754,50.037,49.814,85.871,35.928,31.878,44.413,49.657,29.386,18.388,31.147,59.265,83.371,65.539,49.48,27.978,67.99
190909_14:1,female,4/26/18,9/9/19,10/10/19,10/10/19,16.7,17.73,28.1,APOE33,N57590,N57591,23.39402945,20.08649485,51.189,38.154,41.882,70.504,43.908,53.919,81.39,229.51,121.63,182.37,180.44,127.22,142.39,74.61,694.12,254.42,86.601,94.755,238.8,306.72,176.31,61.143,103.17,146.67,275.04,101.41,179.13,133.06,177.53,114.58,126.84,216.6,282.72,208.87,153.18,183.86,260.07,210.38,120.19,278.04,154.7,509.33,105.61,169.36,124.52,121.64,50.935,43.195,172.66,62.413,650.49,34.899,229.63,154.01,152.15,67.543,990.23,62.368,289.51,288,38.653,245.94,96.09,491.26,349.65,123.47,45.399,116.37,284.82,44.35,80.499,222.37,104.3,21.166,40.409,61.196,84.612,134.92,38.029,96.494,433.37,229.79,67.421,26.097,222.89,33.393,38.28,31.515,470.75,53.16,668.95,58.935,37.64,22.777,54.446,40.009,30.46,55.308,132.26,68.72,23.119,31.939,30.772,191.29,59.425,67.361,93.526,18.739,115.37,132.17,100.7,172.07,83.361,140.1,135.21,210.83,51.581,175.77,310.39,228.2,651.06,95.343,51.441,127.52,161.6,61.748,168.94,41.441,89.62,28.918,45.163,77.211,165.48,133.26,169.32,74.211,44.652,49.329,27.402,115,161.45,70.181,124.43,248.66,104.99,76.715,352.89,251.8,31.777,40.556,66.919,70.861,95.224,41.294,22.146,30.721,53.299,27.28,16.422,49.505,89.694,95.723,82.879,44.644,34.108,76.33
190715_1:1,male,4/26/18,7/15/19,9/12/19,9/13/19,14.83,16.83,32.7,APOE33,N57546,N57547,16.75229445,14.97833585,68.379,50.803,48.942,77.415,40.72,39.57,87.86,172.83,111.79,174,165.48,161.76,85.96,98.285,559.18,230.15,74.488,137.14,189.94,304.29,156.28,81.481,106.81,255.34,270.13,109.9,191.94,139,147.9,100.78,171.97,187.49,225.66,204.24,160.52,156.73,292.77,211.02,127.38,229.85,130.66,389.45,119.17,152.99,98.097,101.06,61.115,47.435,141.23,33.436,503.25,30.618,238.7,175.89,146.33,82.387,795.43,104.38,217.88,287.54,30.252,316.52,81.688,408.1,269.21,135.59,56.631,114.29,147.32,51.196,58.931,217.37,72.675,28.669,41.206,74.053,80.982,104.87,38.278,72.465,338.14,229.71,49.057,22.361,189.62,32.124,39.561,36.728,319.75,29.499,596.68,61.322,33.441,20.872,50.156,32.001,44.515,60.168,106.3,62.039,25.446,34.024,40.396,140.27,33.171,51.813,93.089,18.542,86.916,88.938,64.315,108.66,67.565,106,95.069,154.09,53.294,107.2,183.4,153.43,589.91,60.188,35.858,69.301,101.9,53.17,98.868,29.242,57.317,22.362,36.559,66.383,143.46,80.042,116.47,76.811,41.096,49.736,25.943,88.525,134.26,43.782,69.309,143.09,66.068,66.278,237.47,145.08,42.575,31.257,65.421,53.997,85.141,41.143,48.2,37.519,47.672,25.83,19.269,33.251,55.661,76.899,60.323,31.953,23.374,81.044
190715_2:1,male,4/26/18,7/15/19,9/12/19,9/13/19,14.83,16.83,36.9,APOE33,N57548,N57549,16.65450975,16.31367683,100.94,39.725,59.886,74.46,40.039,42.996,61.865,211.64,141.24,206.76,295.18,156.27,82.933,95.885,601.07,230.87,90.541,150.57,201.87,289.67,138.04,96.825,110.82,181.86,329.58,118.42,215.8,137.95,164.76,114.88,149.67,220.05,250.74,179.27,110.66,208.46,317.06,254.66,121.74,301.47,118.48,389.69,150.08,206.49,131.5,174.75,50.53,46.967,165.65,52.866,550.19,22.512,180.55,141.9,184.72,71.455,899.1,123.38,250.17,230.27,33.141,249.12,84.799,382.37,303.49,158.54,57.1,104.8,174.09,54.931,58.567,226.91,90.132,28.191,44.547,66.985,73.564,115.22,38.921,91.639,388.07,245.88,41.943,23.184,218.2,38.974,45.508,38.408,409.25,64.349,655.74,58.971,37.789,30.891,56.298,40.437,27.908,52.055,107.71,75.416,29.799,34.477,34.455,151.53,56.367,51.577,79.717,24.927,90.58,101.64,45.584,143.63,74.363,139.35,141.58,212.11,62.105,112.88,229.28,169.32,670.77,71.714,44.351,109.41,113.84,25.579,117.56,34.906,62.025,18.597,39.554,63.119,136.43,82.521,119.05,86.999,34.44,36.78,30.025,103.27,170.53,48.235,89.171,183.15,85.25,62.573,302.85,146.56,28.902,28.55,70.23,50.343,99.498,49.87,42.45,36.509,60.092,41.34,25.407,48.71,64.207,79.786,72.756,34.135,25.52,72.447
190715_3:1,male,4/26/18,7/15/19,9/12/19,9/13/19,14.83,16.83,32.4,APOE33,N57550,N57551,21.93281961,18.51503263,51.674,53.186,55.723,59.604,48.421,43.585,87.539,189.64,76.26,130.03,180.31,137.59,64.446,135.79,387.64,251.31,102.56,82.446,208.64,268.58,134.79,60.623,101.79,140.99,268.46,104.08,130.3,162.11,129.74,126.75,163.89,173.4,239.28,223.76,118.19,161.61,219.56,175.93,102.69,151.21,141.42,436.92,77.205,116.86,82.393,101.47,55.511,47.35,114.21,64.014,457.2,26.486,208.27,126.23,129.19,61.306,814.54,87.83,167.96,212.35,35.954,236.48,94.853,362.61,258.83,119.92,41.903,91.371,165.74,41.622,58.838,201.32,69.358,24.579,56.532,46.816,60.613,92.272,48.291,62.113,346.53,277.1,58.077,20.233,183.45,37.047,31.499,39.982,306.07,35.741,496.58,58.35,31.824,27.066,61.067,39.713,34.505,47.89,93.427,58.245,37.427,36.671,34.354,148.76,41.208,48.899,90.417,23.356,88.612,90.061,74.819,97.047,69.857,123.45,88.898,135.15,49.214,76.997,178.57,104.66,575.54,54.58,32.831,121.78,95.15,38.574,96.071,42.778,44.371,20.009,35.168,71.281,138.19,71.735,107.34,83.087,37.638,40.235,32.206,114.05,115.06,47.848,74.25,154.97,69.572,67.667,246.92,125.39,47.337,33.166,45.491,48.841,71.226,29.4,20.586,36.942,46.805,29.956,26.044,33.115,61.647,69.533,65.07,27.963,27.416,57.326
190909_10:1,male,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,36.4,APOE33,N57580,N57581,14.58250992,14.41722972,49.649,44.992,38.234,59.117,47.465,67.783,63.396,310.63,207.85,152.79,194.28,141.34,93.349,162.49,501.68,292.84,96.119,66.858,264.38,287.32,221.07,79.242,70.703,187.2,267.08,109.02,171.65,142.8,161.8,133.69,122.96,194.11,240.97,226.78,136.08,144.47,245.49,190.75,139.79,239.13,142.84,468.39,89.042,138.86,80.716,89.45,61.856,58.532,155.06,69.882,574.78,30.795,217.32,135,157.29,59.928,808.41,72.541,202.59,274.12,36.109,243.8,84.12,409.68,361.72,133.43,47.594,113.9,178.34,40.763,44.565,224.28,89.837,32.069,43.649,54.471,74.943,91.38,49.013,68.361,403.82,248.99,62.526,20.38,203.6,47.299,31.208,33.585,320.05,39.025,487.16,56.826,37.809,34.997,58.562,37.718,31.284,58.439,93.327,69.302,37.998,42.983,42.411,143.26,39.928,58.092,89.591,22.455,91.065,105.39,70.915,104.83,83.071,107.28,96.091,133.2,51.287,81.542,152.02,136.8,641.06,56.784,43.442,110.37,130.65,24.287,93.891,29.843,47.586,23.835,46.993,68.943,138.59,80.957,106.43,68.536,28.533,57.254,21.165,100.53,107.24,49.995,60.148,133.05,53.725,58.114,244.91,109.7,50.899,44.188,55.887,47.165,72.347,38.006,31.068,44.125,47.083,24.721,21.399,36.986,76.153,80.993,67.946,35.82,22.264,65.178
190909_13:1,male,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,34,APOE33,N57587,N57588,18.82054601,17.70814788,46.522,42.488,47.024,60.546,43.928,52.941,71.843,202.74,99.105,136.74,155.15,116.8,77.62,102.5,532.85,208.25,73.895,116.6,195.92,268.03,146.14,98.317,70.113,95.291,263.26,115.89,167.5,135.19,140.64,132.22,176.28,180.19,251.05,171.49,110.18,127.17,192.94,193.13,111.5,191.68,124.28,359.6,96.469,140.24,73.621,91.875,46.621,36.641,105.65,53.9,548.51,27.26,169.81,186.26,143.91,63.516,726.19,67.923,207.56,214.13,35.329,263.82,85.989,383.95,291.01,128.67,44.188,120.97,158.23,47.376,55.469,221.04,74.848,30.054,41.169,56.306,73.263,92.694,38.479,73.426,368.51,232.81,49.863,20.681,205.07,32.135,27.951,30.096,352.39,37.058,524.3,59.817,33.101,39.093,51.675,46.631,39.118,46.494,98.114,70.065,31.952,40.159,29.207,153.72,41.208,55.404,97.732,22.73,80.031,98.581,77.881,98.162,71.176,104.77,90.257,133.95,50.737,91.448,175.69,140.28,622.82,63.08,46.881,91.891,99.169,23.972,90.408,32.449,44.642,19.41,38.702,51.668,166.74,80.047,115.48,71.984,35.495,36.167,23.587,109.9,118.29,42.913,72.151,156.76,69.394,66.983,260.93,156.72,55.656,27.626,55.171,47.598,72.833,51.31,28.865,31.961,40.876,25.623,13.244,37.641,66.773,67.036,68.648,34.479,24.67,79.045
190610_6:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,25.6,APOE44,N57442,N57443,26.34062848,25.33549132,53.063,49.666,50.525,76.279,43.367,68.948,84.074,205.85,153.46,136.08,176.85,153.11,103.06,70.519,574.51,255.88,96.278,93.063,223.43,275.2,180.39,62.147,81.015,151.4,287.05,108.58,140.8,106.66,148.76,116.67,139.02,207.36,348.61,212.42,162.06,152.52,340.37,195.21,112.73,222.34,180.03,526.01,114.9,185.21,111.49,125.86,70.679,47.578,120.87,49.945,572.63,27.286,276.49,146.09,194.76,62.387,917.37,97.62,235.14,278.08,37.589,364.36,97.291,444.23,286.52,138.45,49.777,142.99,188.05,39.441,73.461,254.72,88.585,29.403,34.792,64.501,85.651,107.93,42.969,79.485,429.26,223.21,68.673,19.145,239.73,39.15,41.093,32.219,437.24,45.836,622.71,56.782,40.342,34.88,48.668,37.706,49.811,51.911,107.95,66.928,23.317,36.003,39.65,157.75,51.705,55.188,97.007,17.784,101.16,115.97,57.941,102.42,69.585,113.16,106.56,159.76,46.953,119.61,205.06,187.03,690.7,82.179,33.553,131.32,134.04,27.137,101.27,29.997,62.586,18.69,37.985,63.098,197.56,105.87,114,71.155,32.662,43.963,39.224,121.1,116.12,47.73,80.321,156.07,79.377,66.428,297.67,135.56,33.184,26.148,73.392,53.575,114.16,33.488,31.034,35.264,45.465,41.97,20.902,42.679,63.435,67.469,80.883,34.086,21.441,75.653
190610_7:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,28.7,APOE44,N57447,N57448,21.92279566,23.85328974,65.259,44.888,46.385,91.243,37.416,49.674,76.452,154.16,163.89,126.55,193.55,117.98,70.638,193.48,484.49,182.57,89.587,138.56,179.32,254.94,229.23,69.306,103.65,262.41,209.02,87.896,136.25,104.94,174.13,125.77,217.78,163.14,212.1,211.81,225.3,136.61,346.4,178.9,115.57,232.84,188.2,388.54,84.971,116.01,74.514,91.759,44.589,43.47,97.947,38.285,494.64,28.43,155.79,111.74,122.78,48.874,757.38,75.748,191.04,220.12,35.612,254.32,87.115,349.4,234.81,172.67,40.658,79.536,200.84,45.219,68.269,226.09,71.302,28.076,44.394,62.607,90.729,118.45,48.842,77.766,367.23,216.79,51.78,22.359,185.88,35.613,44.705,37.011,346.57,45.781,599.96,58.146,41.791,34.1,49.294,40.37,31.229,45.764,101.34,69.248,36.802,30.832,34.164,153.41,45.827,45.787,107.16,23.032,83.293,102.66,54.337,93.269,65.99,127.22,112.5,158.99,42.006,88.393,176.34,131.01,590.9,69.537,31.735,86.172,90.304,23.609,96.713,38.506,56.681,20.405,31.534,66.63,137.35,92.791,119.62,68.385,35.539,45.392,27.08,119.04,128.73,41.802,82.313,158.73,70.366,53.113,276.48,132.19,50.839,26.339,63.6,46.095,83.106,37.438,29.285,29.97,44.593,36.277,19.893,41.537,70.781,81.031,61.215,33.64,21.392,75.89
190610_8:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,25.7,APOE44,N57451,N57517,25.03491172,22.10515771,67.313,35.833,62.497,102.69,29.584,40.77,58.289,177.21,116.21,148.13,247.73,148.76,65.837,88.153,420.73,186.05,95.142,157.17,214.14,322.54,156.71,117.89,109.64,175.05,236.47,103.08,152.97,153.59,128.53,161.24,260.97,163.61,223.57,193.48,181.62,144.46,260.85,213.16,138.73,187.69,130.07,392.84,106.61,148.18,79.413,109.07,54.515,38.173,115.92,40.361,421.1,33.111,192.57,138.71,118.51,62.687,710.24,89.88,183.73,183.84,30.048,215.55,83.649,380.82,225.73,131.76,61.209,88.771,134.13,33.605,54.885,198.36,70.404,26.1,42.781,49.332,72.538,114.28,42.911,65.27,273.95,224.9,42.295,21.525,178.65,34.019,26.124,32.843,277.27,38.258,520.05,59.1,34.595,28.259,40.204,34.482,31.798,46.921,89.701,61.613,28.497,35.298,29.741,136.68,35.802,65.518,110.19,23.458,91.793,76.326,48.775,94.572,72.011,111.73,90.389,137.67,49.209,83.328,169.66,94.572,521.21,48.027,25.743,73.926,91.919,27.28,84.42,23.073,38.841,16.437,26.937,58.326,113.16,60.133,97.84,69.647,33.081,40.177,28.122,100.97,111.9,38.269,52.83,127.83,56.071,58.734,189.22,152.19,48.537,35.6,47.036,54.343,75.004,30.519,33.911,31.877,48.272,23.52,15.516,26.652,53.556,64.114,49.134,26.759,21.378,72.607
190610_9:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,24.6,APOE44,N57518,N57519,39.73000118,22.72867074,60.669,46.702,52.435,74.502,39.844,37.976,70.592,173.71,124.84,122.99,156.68,141.21,88.35,85.881,493.28,165.07,79.204,136.17,174.68,267.12,128.43,59.942,91.286,151.26,238,93.439,152.26,100.44,133.52,136.33,210.44,181.64,227.96,228.12,124.34,151.52,260.51,193.49,173.53,235.57,125.44,401.57,129.29,171.87,111.05,134.67,41.673,46.427,121.78,39.189,454.69,25.72,203.95,142.6,134.61,54.641,710.42,120.06,174.89,209.04,31.413,246,85.472,356.18,243.86,155.32,48.74,110.85,163.12,34.895,60.617,204.3,72.799,19.668,37.819,55.218,70.636,103.96,39.646,71.998,316.08,206.34,51.706,18.215,179.52,34.228,44.993,40.066,315,43.604,501.23,56.48,37.276,26.503,49.623,35.785,37.603,54.683,117.74,75.293,26.104,41.609,46.821,147.99,36.891,55.365,108.48,21.392,83.14,97.29,67.928,87.527,73.878,112.72,100.65,165.72,47.645,83.304,168.39,119.92,608.73,49.406,26.609,107.14,97.172,27.357,90.218,26.383,48.257,17.834,34.254,57.06,128.48,77.668,115.5,76.111,39.112,48.103,28.273,103.63,138.43,45.836,70.335,137.83,67.612,66.802,239.33,154.68,37.876,30.074,76.903,47.541,79.978,44.355,28.491,29.3,44.115,35.166,18.978,23.746,53.164,76.758,62.405,33.254,20.4,67.572
190610_10:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,29.6,APOE44,N57522,N57523,23.59291797,25.76451388,68.527,50.854,61.296,67.107,44.593,43.743,64.69,151.67,151.46,140.86,163.04,125.34,67.108,79.114,480.85,198.9,85.499,137.63,180.63,245.4,157.86,87.263,86.054,246.89,259.2,108.32,133.11,138.91,140.66,125.39,179.87,198.82,266.49,166.3,108.91,173.48,379.9,194.43,128.02,212.52,178.01,491.93,117.62,206.23,123.86,121.28,39.68,37.008,110.52,35.796,502.49,30.76,199.53,154.29,149.49,86.182,849.07,105.56,204.73,207.88,30.892,292.52,90.679,390.17,239.01,183.71,62.069,82.25,147.26,37.85,57.604,233.47,73.971,27.126,39.684,61.76,82.565,123.75,41.505,70.84,305.09,255.63,54.874,20.508,204.52,43.283,43.955,39.803,376.5,58.511,627.45,59.144,40.474,88.033,45.351,43.803,33.031,42.157,97.677,62.303,53.457,38.58,26.313,138.36,50.967,56.489,97.49,21.315,94.459,120.21,60.886,81.144,62.288,112.99,104.16,141.26,51.569,87.616,180.92,146.43,561.4,65.012,30.825,91.219,96.197,41.922,113.77,34.481,47.382,16.737,35.151,61.993,130.87,80.772,118.72,67.746,31.86,42.418,17.926,87.841,125.68,54.693,81.133,158.76,69.425,61.316,322.36,156.54,52.086,25.881,69.773,54.534,96.244,38.738,36.728,38.227,51.481,24.236,21.05,43.368,62.491,68.53,73.962,38.137,20.273,83.317
190610_1:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,30.7,APOE44,N57437,N57438,22.57524101,22.75198095,55.654,44.187,58.792,67.068,36.379,42.647,54.944,154.15,153.81,135.7,143.09,114.99,73.711,96.96,462.6,166.12,85.452,122.85,185.01,268.65,201.57,60.46,87.463,202.22,201.24,90.391,155.48,123.69,119.46,83.288,159.91,174.81,208.68,180,165.51,150.34,233.84,188.55,117.63,234.9,133.74,354.9,97.634,157.85,87.958,100.6,49.802,41.868,92.151,41.229,466.23,28.92,194.49,149.39,132.47,47.715,744.67,102.34,200.11,201.15,32.802,225.97,76.314,354.93,234.68,164.12,57.324,101.08,145.7,46.102,62.328,192.89,69.826,32.33,41.763,50.972,69.07,102.15,41.789,73.715,289.43,218.11,43.764,25.308,159.51,34.334,38.44,34.875,309.36,42.432,537.18,54.378,32.071,33.366,48.37,41.826,40.305,47.086,95.261,70.952,23.686,34.236,27.336,151.71,33.827,50.285,94.412,27.309,83.35,108.3,56.501,92.136,71.113,106.11,99.754,144.62,47.255,83.278,172.78,116.94,569.24,55.88,34.776,89.05,92.136,15.462,77.309,32.185,34.157,25.569,35.644,58.095,126.82,70.031,103.19,72.267,32.365,37.577,23.399,120.38,133.8,53.82,75.601,162.85,68.251,59.013,223.94,140.86,49.407,25.231,70.429,43.984,90.927,47.723,40.746,32.919,41.757,30.324,17.305,35.414,54.099,74.612,64.571,34.036,22.748,70.913
190610_2:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,32.1,APOE44,N57446,N57445,20.43866189,25.43025944,93.46,46.343,56.029,70.943,37.316,34.283,69.964,123.44,162.27,155.29,179.77,127.18,67.013,104.58,533.2,220.73,88.461,118.88,205.51,271.93,208.09,42.701,84.887,213.43,249.15,100.78,144.76,102.67,141.06,118.01,163.15,174.8,245.61,183.79,171.46,136.63,342.87,166.77,111.7,190.18,143.88,436.31,91.253,146.46,99.908,92.519,39.425,33.214,97.749,40.644,526.3,27.477,197.8,145.58,134.76,71.647,818.06,92.046,191.32,214.68,33.674,260.4,84.239,385.56,237.55,163.76,43.124,96.955,171.73,49.034,62.251,218.79,79.039,27.158,47.393,61.199,74.544,107.04,32.168,77.881,307.79,229.2,52.962,23.351,178.72,42.957,30.479,41.538,370.14,53.047,585.78,56.488,38.81,25.426,49.609,31.615,36.989,55.311,102.93,70.22,32.241,27.729,35.615,144.95,49.79,52.81,91.103,18.154,86.8,109.08,63.802,67.97,66.789,122.25,102.31,174.06,49.17,98.831,205.77,182.57,630.87,54.067,38.355,92.522,84.596,22.448,101.11,30.983,63.238,20.391,40.277,59.098,143.43,85.956,119.78,52.583,33.927,40.741,24.596,112.42,120.83,57.953,77.216,146.33,70.828,78.41,287.73,145.88,45.633,30.786,63.688,48.03,91.814,44.628,30.137,29.151,48.817,38.381,22.847,34.887,58.985,79.534,68.897,38.084,23.952,75.075
190610_3:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,31.6,APOE44,N57449,N57450,26.6606015,20.81804791,74.899,44.681,52.581,49.922,35.687,38.364,49.466,161.08,123.25,215.18,271.07,137.01,72.755,87.546,480.77,164.92,81.613,115.49,200.34,252.35,138.15,65.053,87.777,212.4,218.77,93.494,139.58,113.39,122.26,137.53,128.8,175.41,219.79,190.81,128.04,176.82,327.31,193.32,119.86,210.64,199.41,423.75,95.869,150.13,106.44,117.22,42.189,35.697,102.61,42.541,485.64,23.777,212.06,136.59,130.23,50.961,763.87,103.54,182.62,194.2,36.557,249.67,83.772,345.47,202.11,133.18,56.128,70.953,164.99,36.354,69.017,205.65,87.553,28.78,44.866,54.265,82.267,105.17,41.633,78.914,358.02,217.9,49.171,18.52,193.05,50.786,36.07,33.526,359.4,47.55,611.74,51.183,38.285,23.591,51.251,38.469,34.91,48.684,97.005,64.975,27.415,34.952,31.18,141.32,46.614,53.245,96.751,23.114,94.339,116.1,62.971,84.762,63.714,108.37,100.66,149.76,47.479,84.586,176.76,140.84,535.05,69.935,30.315,79.943,89.071,38.181,102.73,31.845,47.995,22.038,32.303,53.612,142.95,71.349,101.77,59.067,29.763,47.359,21.651,110.76,137.73,44.911,69.013,152.15,69.21,54.007,280.42,132.44,44.412,31.383,62.33,60.037,80.028,41.883,24.122,34.107,51.503,31.521,24.375,44.308,57.587,65.395,73.839,34.238,20.545,74.867
