Animal,Sex,DOB,MWM,InVivoMRI,ExVivoMRI,AgeatMWM,AgeExVivo,Weight,Genotype,DWI,GRE,Probe_d5,Probe_d8,A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Preopt,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,5N,PnO,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnC,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,4V,MiTg,PT,LDVL,LP,Athal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA
191028_6:1,male,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,30.3,APOE22,N57700,N57701,19.15541592,17.77159434,12817,4642,4863,7354,4377,10100,15797,96528.5,72317,64545,69049,50634.5,20567,15457.5,440000,211500,21754.5,7256.5,155000,262500,78880,12586,2331.5,19357,157000,36877.5,73206,63110,59411.5,4985,19555.5,116451.5,201500,98409,13935,48851,168500,80932,37907.5,90540.5,36220,331000,28626.5,61203,26181,36244.5,5975.5,4024,59598.5,9326,384500,1848.5,94967,58472.5,64056,9728,793000,10886.5,94107,157000,4082,121000,23848.5,228500,204500,42249,5301.5,29502,65383.5,6807.5,8817.5,100500,24010.5,1526,7591.5,9284,15659,28282,4766,16755.5,214000,132500,12069,782.5,80452,4331.5,2399,3134.5,206500,3545,461000,18110,5355,529,14492,5059.5,2671,7288,49602,19987.5,1407,1093.5,959.5,66066,7088.5,9132.5,23138,1170.5,31791.5,25192,12324.5,47174.5,23111,82982.5,37343,85990,8945,34222,82814.5,44240,507500,9990,3899,28686,65866.5,1224,27914,2344.5,7633,859.5,4268.5,16435,44016,25437,76283.5,16226,3903.5,4293,1008,49773,47730.5,7989,13410,80957,15576.5,19946,231500,63902.5,12843,1108,11206.5,9011.5,24241.5,4804,1971,3280.5,6582,2341.5,344,4352,13756.5,21614,13301,2655.5,1557,10468
190909_11:1,female,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,36.2,APOE33,N57582,N57583,17.24770323,18.99546626,14186,5379,4755,7842,4377,11098,19207,78057,63262,71180,74029,56565,22248,13748,5.00E+05,2.24E+05,22210,5730,1.71E+05,2.42E+05,72006,8712,2885,22156,1.57E+05,42589,77200,63270,62187,6977,15552,99903,1.83E+05,84818,18340,48438,1.44E+05,85265,36978,1.05E+05,31066,3.57E+05,30500,68623,24745,34437,8205,5306,52360,9360,4.01E+05,1649,93570,64569,64513,9350,7.15E+05,10995,89870,1.33E+05,4006,1.18E+05,24990,2.38E+05,2.16E+05,41862,7360,35835,60107,5361,8238,1.01E+05,20017,1686,7526,10809,19137,25276,4609,15504,1.92E+05,1.19E+05,7911,1038,83109,5572,2770,2904,2.09E+05,3584,4.41E+05,19364,4448,440,12803,4143,2385,6322,51816,18374,1937,1361,1032,70701,7813,7649,26100,1671,31099,30008,12258,45089,22934,75629,37946,82428,7383,30453,71652,51806,5.02E+05,10257,3304,31266,65176,2225,30803,2261,7640,630,3658,15593,41828,25627,80169,14897,2433,4360,832,38585,55100,7210,12547,71582,16153,18681,2.17E+05,65584,10474,1059,11859,7654,30140,7353,1697,3085,6596,2402,300,3799,9987,21500,11156,2465,837,12402
190909_12:1,female,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,30.4,APOE33,N57584,N57585,14.79669699,14.41589883,13641,3412,3260,10051,3829,6113,13902,1.06E+05,76977,86417,73431,64337,15351,16007,4.15E+05,2.24E+05,26074,8754,1.24E+05,2.59E+05,69411,9442,4107,22545,2.03E+05,33123,57914,63312,66771,4398,20631,1.09E+05,1.77E+05,1.20E+05,15125,52753,1.90E+05,98732,41791,99368,28616,4.62E+05,18306,56201,21172,24048,2792,2050,56441,5938,3.60E+05,2166,85367,50722,56414,9407,8.04E+05,9126,89964,1.56E+05,2816,1.23E+05,29015,2.09E+05,2.15E+05,45998,6041,23632,71156,9445,8324,1.14E+05,24833,2624,8707,8559,15306,36694,4653,15664,1.96E+05,1.23E+05,12350,959,83698,3474,2620,2941,2.05E+05,3503,5.04E+05,24673,5432,276,16926,4261,3348,9148,47731,20788,2336,836,1159,83658,9393,13142,22186,533,26225,20882,16927,43139,18877,94560,43883,91087,10874,26131,68332,36143,4.78E+05,6987,2662,34308,56483,2203,32632,2775,8297,1880,2671,16235,43351,24394,66208,25549,3188,3731,1261,42218,50145,11512,10124,79972,16875,12622,2.58E+05,54010,12936,1846,10410,9728,24340,3936,1794,5332,7294,2414,446,4773,11901,23882,13530,5522,2810,12088
190909_14:1,female,4/26/18,9/9/19,10/10/19,10/10/19,16.7,17.73,28.1,APOE33,N57590,N57591,23.39402945,20.08649485,9971,4363,3396,7462,6504,7952,15805,1.08E+05,36297,61088,88384,55973,44117,14120,6.36E+05,2.07E+05,21588,5076,1.45E+05,2.24E+05,59065,7416,3471,24800,1.71E+05,31212,82868,70461,78307,4144,14257,1.25E+05,1.85E+05,1.06E+05,18094,56303,1.54E+05,93158,48425,1.49E+05,50861,3.82E+05,31352,1.06E+05,49227,36337,7685,3527,78703,11979,4.85E+05,1375,1.10E+05,62195,70949,10833,9.85E+05,12826,1.43E+05,1.66E+05,3314,1.18E+05,20380,2.75E+05,2.09E+05,37928,5767,33220,1.31E+05,4704,13928,91344,25800,1003,3859,11064,17115,36431,3204,22285,2.49E+05,1.19E+05,12462,1457,85642,3042,4132,2498,3.10E+05,7472,5.85E+05,11661,4628,527,12284,4297,2051,8792,55367,13806,1124,2348,1436,70910,9686,13829,21116,326,37753,39115,23859,86638,21482,80926,43390,98672,9238,63206,1.49E+05,86268,4.38E+05,23386,6679,35677,88885,9796,51122,3725,18575,1644,5083,21169,52077,44078,95864,16489,5530,7198,1497,38226,74869,12715,39415,1.47E+05,23882,19489,2.98E+05,99016,2017,2722,14556,16599,23350,4111,1199,2225,7784,1966,184,5996,18093,27173,15915,4005,2802,18060
190715_1:1,male,4/26/18,7/15/19,9/12/19,9/13/19,14.83,16.83,32.7,APOE33,N57546,N57547,16.75229445,14.97833585,15919,5784,4398,8157,6537,4556,20533,80922,36069,59363,80376,49382,23377,17456,5.58E+05,1.72E+05,13901,8437,1.27E+05,2.29E+05,55964,8269,2551,39602,2.03E+05,36800,1.05E+05,60850,73079,3391,17286,1.17E+05,1.57E+05,95089,14175,75056,1.80E+05,1.13E+05,53865,1.08E+05,49811,3.25E+05,37381,87010,26976,38742,10916,7658,49011,3985,4.24E+05,999,1.22E+05,90716,61128,19291,8.55E+05,14404,1.19E+05,1.83E+05,2852,1.67E+05,19578,2.46E+05,1.80E+05,47568,7669,41731,55855,10287,11306,1.07E+05,21002,1977,6227,17868,20365,29449,4597,17542,2.04E+05,1.23E+05,7574,1249,76375,3608,3607,3972,1.98E+05,3263,5.72E+05,16859,5674,305,12257,4235,6061,12869,43140,16209,820,808,624,63929,4407,11412,28512,588,34726,25662,17086,51255,20560,69789,35907,82784,8692,33365,89477,56786,4.22E+05,11074,3187,19702,65001,9384,26573,1920,9312,622,3393,18152,52872,24059,78304,17498,1780,5197,1112,35770,66819,5714,16200,94294,15049,20662,2.39E+05,54125,4706,1558,13997,10796,20525,5338,7127,3638,7309,1850,779,4089,9237,24272,10899,2685,1019,13227
190715_2:1,male,4/26/18,7/15/19,9/12/19,9/13/19,14.83,16.83,36.9,APOE33,N57548,N57549,16.65450975,16.31367683,28294,5665,2705,11591,5311,6005,10131,99655,53708,67974,86865,60511,24168,23178,5.50E+05,1.77E+05,19754,3882,1.43E+05,2.32E+05,44083,7006,1711,24915,2.61E+05,48664,1.19E+05,71242,84173,2711,13988,1.50E+05,1.83E+05,74027,11430,64678,2.10E+05,83163,44554,1.64E+05,44650,2.95E+05,65702,1.33E+05,44774,92477,7587,4091,74704,9638,4.52E+05,462,68459,56005,66655,13146,9.91E+05,37453,1.33E+05,1.36E+05,3333,1.25E+05,23420,2.24E+05,2.04E+05,55828,9064,30410,59504,9377,10467,1.03E+05,23324,2315,6177,14596,16667,32948,3009,21590,2.25E+05,1.25E+05,6084,1079,93174,5592,5135,4062,2.63E+05,11538,6.11E+05,15037,6043,484,15335,5057,2329,8305,50777,20762,1818,2124,945,64270,9894,10028,19082,888,32413,34299,7040,71455,20034,1.02E+05,56770,1.09E+05,12117,33754,1.06E+05,68266,5.06E+05,14840,5574,35198,65874,1352,30357,3364,10004,890,3632,16818,48274,26318,65731,18317,2478,5211,1499,37441,78621,7386,24243,1.16E+05,24298,16355,2.89E+05,54112,2859,1220,15868,8318,26572,6361,5651,3845,9134,5137,781,7820,11847,21912,13802,2833,1977,10542
190715_3:1,male,4/26/18,7/15/19,9/12/19,9/13/19,14.83,16.83,32.4,APOE33,N57550,N57551,21.93281961,18.51503263,10130,3576,2629,7911,5464,5518,22477,97008,23399,58354,80349,53083,13805,13715,3.82E+05,2.14E+05,38880,6291,1.33E+05,2.29E+05,44905,9716,3481,28813,2.00E+05,43909,71442,66818,56692,6217,18576,1.01E+05,1.60E+05,1.21E+05,12411,54575,1.26E+05,77412,40544,67903,52902,3.96E+05,28140,65300,17389,35136,8324,3589,55997,4873,3.76E+05,1681,99763,60850,60743,12402,9.27E+05,15045,81547,1.26E+05,2293,1.19E+05,29720,2.34E+05,1.84E+05,44471,5631,32200,68810,7617,11737,1.00E+05,18466,1188,10550,7308,11596,25389,6575,14458,2.09E+05,1.56E+05,9484,1004,71936,5665,2526,5268,1.95E+05,4543,4.87E+05,15706,3984,327,14940,4833,4071,7677,44209,13861,2152,1822,932,72512,5250,8841,27858,1016,34468,26395,19265,47382,21414,76786,35188,82969,7081,21188,80866,35210,4.37E+05,11445,2579,41087,54920,4398,25671,5323,6108,1067,2465,21974,52468,23951,60196,22413,3444,4214,1974,48863,52715,7334,16985,98709,14006,21216,2.43E+05,48536,7900,1338,7418,8671,17578,2749,1008,2964,7375,2581,1533,3926,13120,18788,13314,3111,1787,10576
190909_10:1,male,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,36.4,APOE33,N57580,N57581,14.58250992,14.41722972,8596,3927,5083,11530,7302,8768,12197,1.67E+05,88194,66345,62274,69823,22106,19387,4.73E+05,2.56E+05,28013,9316,1.54E+05,2.22E+05,93893,19595,2144,23643,1.92E+05,41080,92605,78125,62233,5253,20673,1.06E+05,1.71E+05,1.29E+05,13881,42662,1.38E+05,76977,58848,1.19E+05,53824,3.78E+05,19115,78057,18828,26323,12319,4574,71305,10413,4.70E+05,1988,1.03E+05,56377,73916,12619,8.38E+05,12536,96998,1.57E+05,3088,1.23E+05,22593,2.60E+05,2.77E+05,47550,5085,41727,79886,6462,6595,1.06E+05,27071,1977,6979,8931,18751,26530,6509,18395,2.54E+05,1.36E+05,10035,1001,82165,6923,2586,3782,2.13E+05,5459,4.81E+05,13315,8115,498,19967,6382,3547,9948,47330,19231,3042,1091,792,75839,4810,11932,26452,1157,32447,34812,18272,50148,28294,51190,42585,89727,5195,25481,61855,52206,4.83E+05,11732,3806,32962,82433,783,25751,1911,8467,682,8126,18853,48994,28824,71533,14584,2854,3485,966,42662,54960,6646,15419,89316,11580,15048,2.53E+05,36870,7117,1128,12669,7442,17775,3695,1015,5180,5761,1733,910,3559,15750,24396,14600,2360,1219,6808
190909_13:1,male,4/26/18,9/9/19,10/11/19,10/12/19,16.7,17.8,34,APOE33,N57587,N57588,18.82054601,17.70814788,10011,5526,3895,11221,6580,9791,15539,98084,31741,62489,83732,42301,23159,12673,4.85E+05,1.87E+05,19511,5121,1.28E+05,2.16E+05,50613,6676,1478,24359,1.88E+05,44747,79826,61610,61802,3076,19772,1.05E+05,1.73E+05,72908,10404,55300,1.13E+05,97180,49673,1.04E+05,37467,2.74E+05,31161,74484,14852,26987,7678,5014,50236,10313,4.44E+05,720,72459,83659,76178,11171,8.04E+05,9793,1.04E+05,1.14E+05,4221,1.39E+05,24012,2.40E+05,2.02E+05,46449,6607,42377,63797,7317,9170,98766,19724,2039,7531,12130,15414,26272,6453,18789,2.15E+05,1.23E+05,8471,925,88073,3407,2655,2286,2.45E+05,3887,5.23E+05,18305,4185,359,16801,8239,5000,8400,49917,21394,2354,3719,937,75878,6785,10984,27639,775,29560,28644,18074,52797,22649,72426,37211,77330,7469,29066,78248,52841,4.79E+05,12218,6894,28253,70319,1167,21784,2876,7904,509,4507,14343,64912,27470,81321,15886,2657,3499,801,43524,57185,6292,18141,89467,16794,20677,2.64E+05,62159,9429,1391,11232,10252,16405,7957,2452,3065,5971,1825,220,4946,14149,18349,13625,3290,2074,18916
190610_6:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,25.6,APOE44,N57442,N57443,26.34062848,25.33549132,12659,6440,5434,11021,6442,13367,19615,91880,52609,52688,82169,51870,29950,11669,5.23E+05,2.05E+05,31500,5534,1.37E+05,1.83E+05,55421,8596,1868,29888,2.12E+05,39322,67535,48627,68222,5164,16389,1.37E+05,2.33E+05,99775,16645,64483,2.05E+05,88059,40029,99633,63126,3.86E+05,44055,1.02E+05,41191,48272,13050,6365,63686,7893,4.19E+05,1208,1.33E+05,62765,92134,13420,9.28E+05,36163,1.15E+05,1.57E+05,2284,2.06E+05,21878,2.62E+05,1.88E+05,44415,6542,43964,81473,5306,14422,1.09E+05,21969,2069,3949,12525,18812,27007,5501,20574,2.57E+05,1.15E+05,12508,851,1.01E+05,4451,4190,3275,2.78E+05,6844,5.75E+05,12838,7389,656,14154,3734,7114,9501,50405,22213,767,2148,1417,68867,8924,11798,26391,286,35622,35721,9130,51734,20595,84695,38606,86762,9380,33506,90877,64332,5.15E+05,17166,2682,44156,90509,2028,23332,3120,10958,527,3882,13444,81391,33217,69387,12760,2788,5945,3785,49013,56796,8097,20668,1.00E+05,21517,18551,2.92E+05,39425,2453,781,18275,10330,29983,3076,2654,3823,6280,5117,1024,5933,11463,19981,15590,3615,1076,13788
190610_7:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,28.7,APOE44,N57447,N57448,21.92279566,23.85328974,16976,4678,5287,11204,4804,6788,16121,70084,62259,67203,75993,50031,17834,19579,5.28E+05,1.54E+05,27867,5719,1.16E+05,2.04E+05,97865,7969,2983,29332,1.60E+05,35547,70061,54940,71037,4046,15476,92837,1.54E+05,1.25E+05,14738,63380,2.54E+05,1.14E+05,52733,1.22E+05,84880,3.79E+05,26739,56513,21002,37930,6898,5255,38555,4691,4.04E+05,1569,81849,52508,39291,8097,8.33E+05,15677,95037,1.20E+05,3823,1.29E+05,22737,2.04E+05,1.45E+05,71197,5444,21994,85657,7093,14967,98426,18437,1715,5264,12638,20758,36089,8388,19580,2.25E+05,1.23E+05,8966,989,69635,3793,4842,3378,2.22E+05,7552,5.77E+05,17434,6634,412,15094,5575,3476,5842,50397,21882,2050,1324,882,75578,7860,8424,31103,1171,26863,36551,8215,41118,18334,90841,42620,84840,9704,23894,74647,45484,4.38E+05,17986,3205,26026,50079,1217,23717,4567,9787,650,3151,16594,47808,29973,68467,14445,3266,5401,1124,42358,54962,6089,22167,1.03E+05,15104,13127,2.54E+05,49806,8367,1236,15521,8862,21646,4680,2433,2162,6829,3653,975,5535,14679,22679,11238,3308,1057,17138
190610_8:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,25.7,APOE44,N57451,N57517,25.03491172,22.10515771,18761,4212,4404,9362,4662,4074,11516,80185,48260,58709,94933,48552,16641,14210,4.28E+05,1.50E+05,25038,6110,1.13E+05,2.29E+05,61087,10832,2518,29751,1.92E+05,37001,91285,65588,74174,5526,19878,1.02E+05,1.68E+05,89847,11347,59073,1.59E+05,1.16E+05,57212,95523,53884,3.55E+05,47692,1.02E+05,22661,47695,6644,4547,43694,4681,3.53E+05,1822,99894,65954,48894,11597,8.29E+05,19086,96898,1.05E+05,3297,1.12E+05,23838,2.45E+05,1.60E+05,48374,12204,29383,48570,5124,12050,91954,20837,1686,8216,10825,17806,35142,7303,15109,1.66E+05,1.18E+05,4463,1236,79250,4223,2097,3829,1.77E+05,3829,5.36E+05,20893,4086,174,11204,5508,3755,6608,41989,18312,2144,1413,666,75194,5580,10726,36543,978,36479,24273,9318,39679,21905,80316,36385,84758,8666,21594,81761,34225,4.07E+05,8614,1912,20265,54009,425,20475,1704,4736,316,2453,17361,40968,21043,62608,15405,2080,2792,1339,44830,59817,5862,12543,95004,12786,16792,2.13E+05,73027,6849,732,10955,13001,19670,3804,4702,2967,8536,1852,457,2551,9606,17246,9013,2096,1082,11219
190610_9:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,24.6,APOE44,N57518,N57519,39.73000118,22.72867074,16677,4298,6105,7565,7159,5783,14537,80733,49980,64878,67415,59109,30053,11000,4.87E+05,1.35E+05,22640,4889,1.20E+05,2.09E+05,41308,11427,1477,32627,1.80E+05,34950,72748,52219,67152,3100,18905,1.15E+05,1.64E+05,1.20E+05,11741,64011,1.57E+05,70578,40218,1.43E+05,41935,3.18E+05,62437,1.26E+05,43535,56666,5803,10761,42749,6909,3.68E+05,1155,1.11E+05,65864,69435,8168,8.32E+05,25036,84833,1.21E+05,2319,1.33E+05,23516,2.08E+05,1.64E+05,53563,6293,37473,72017,5389,11017,99295,21011,1271,5090,12468,16430,30216,6438,17523,1.96E+05,1.08E+05,7730,859,68041,4955,5415,6200,2.04E+05,6082,4.89E+05,15125,7370,756,14100,4323,4969,12294,43602,23508,1004,1454,1490,71455,5640,11223,33437,629,29640,30756,18903,37654,22238,74772,42285,95795,9308,20826,75743,39333,4.75E+05,8671,1664,33215,65956,2517,22220,1758,7878,342,3691,16678,43140,24638,70098,19170,3620,3826,1440,40857,71093,7356,16538,88105,17039,19383,2.52E+05,56539,4434,1139,21709,9451,19508,6901,2374,2479,7220,2994,466,2232,10165,21497,11273,3434,751,14544
190610_10:1,female,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,29.6,APOE44,N57522,N57523,23.59291797,25.76451388,15061,3546,5767,7234,7400,6277,11275,61651,61621,48903,78653,48778,18913,13848,4.46E+05,1.35E+05,24382,7955,1.19E+05,1.83E+05,54619,9721,2874,41763,2.30E+05,35994,63282,52477,68469,6023,18804,1.31E+05,1.74E+05,78730,13421,74818,2.63E+05,96594,44424,1.04E+05,76547,4.17E+05,51895,1.43E+05,48741,48247,3131,3032,43051,4703,3.90E+05,2270,99295,67414,81811,19885,9.36E+05,23902,1.10E+05,1.20E+05,3087,1.52E+05,24330,2.32E+05,1.61E+05,82233,10827,22864,60168,6506,11509,1.11E+05,22236,2488,3803,12689,17436,38667,3631,16147,1.80E+05,1.39E+05,7832,817,85913,6413,5736,4258,2.69E+05,10265,5.99E+05,17200,5308,214,13487,6428,4139,6729,46377,17678,5750,1789,745,68371,8129,13211,27256,903,35205,39770,13593,36922,18429,82924,43411,73570,10125,23289,82624,47088,4.06E+05,13474,1599,28560,64696,4778,30662,3626,8295,565,3506,14417,50413,26309,69815,11992,1686,5190,552,30968,62765,10874,21781,1.02E+05,17233,14916,3.00E+05,59006,7221,1767,16970,11074,24493,6389,4495,2832,9425,1912,641,6541,10942,17162,15443,4655,897,13146
190610_1:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,30.7,APOE44,N57437,N57438,22.57524101,22.75198095,11366,4209,4492,12073,4036,6784,8897,71955,67389,61038,75829,49003,17346,16257,4.57E+05,1.27E+05,21640,4176,1.21E+05,2.31E+05,76241,6806,1959,24612,1.59E+05,32845,78303,54415,60301,3626,16995,1.04E+05,1.46E+05,95287,11030,53474,1.54E+05,96899,27030,1.25E+05,52869,2.81E+05,43534,1.16E+05,26021,44656,7004,5878,33086,6301,3.84E+05,1397,98619,66065,57814,7601,8.67E+05,14768,98774,1.17E+05,3799,1.19E+05,20621,2.18E+05,1.51E+05,65884,10265,31503,64031,7501,14038,86941,18050,3511,5074,10981,15511,28872,5908,17865,1.72E+05,1.18E+05,5976,981,66364,3716,3834,3823,1.97E+05,6428,5.13E+05,13670,5694,551,11783,4584,4724,8779,45947,19205,689,1099,737,70411,4072,8108,26708,967,31013,36244,11020,40709,20881,74657,43564,77783,6514,21986,75376,43741,4.30E+05,10021,4452,27303,58825,165,17692,2073,4625,1333,2900,16287,46617,21026,60768,15925,2737,3162,997,45986,69025,9899,19064,1.06E+05,17103,16678,2.24E+05,60555,8084,762,16079,8313,26042,7867,5584,3075,6196,2476,406,2795,9412,22230,12777,3696,886,17074
190610_2:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,32.1,APOE44,N57446,N57445,20.43866189,25.43025944,30210,5456,5324,10612,4471,4040,14634,49108,69469,55107,79566,51789,17544,21995,4.87E+05,1.67E+05,27016,5523,1.20E+05,2.09E+05,81411,6473,1783,33908,1.88E+05,39364,72753,47898,68817,5186,14417,1.14E+05,1.61E+05,86943,15147,59632,2.31E+05,86426,37623,86164,54030,3.75E+05,37245,1.04E+05,37621,36452,5405,2339,36149,6180,4.24E+05,1033,96161,55080,66708,14196,8.89E+05,16378,1.00E+05,1.22E+05,2931,1.35E+05,23878,2.28E+05,1.62E+05,68061,5500,27041,71281,9320,11872,1.01E+05,21915,1614,8182,14669,16648,30965,3045,18760,1.87E+05,1.31E+05,8270,735,72826,5302,2752,4909,2.41E+05,8283,5.44E+05,14995,8192,296,12196,4346,4970,10950,49893,21969,2212,1215,1073,70172,10281,10156,24141,488,33241,35709,15393,29399,20974,85966,43597,96076,8616,26276,1.01E+05,76263,4.80E+05,10461,4406,26725,58809,623,26091,2682,13573,718,4908,14844,53537,31529,74968,9764,3253,6143,830,40827,56805,9730,22493,96370,17620,25574,2.57E+05,54896,6260,1417,15920,9951,22589,5483,2629,2020,8065,4012,1209,4543,11388,20795,14039,4637,1048,16160
190610_3:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,31.6,APOE44,N57449,N57450,26.6606015,20.81804791,22001,5240,4679,7902,6509,5373,8506,70083,48205,52958,72286,62352,18410,18376,4.83E+05,1.22E+05,25908,4351,1.18E+05,1.90E+05,45472,5547,1838,23533,1.66E+05,33332,56780,51359,61307,4086,13689,1.04E+05,1.66E+05,1.04E+05,12039,57135,2.10E+05,81002,37550,1.10E+05,94724,3.94E+05,42478,1.16E+05,43583,57052,4186,3475,42812,5386,4.04E+05,1250,1.14E+05,57006,60375,7657,8.87E+05,13513,98194,1.08E+05,3028,1.32E+05,22242,2.06E+05,1.31E+05,50953,9339,20261,67150,5059,15205,93135,23383,2425,6349,9493,19487,28371,4837,18669,2.19E+05,1.19E+05,8016,627,75775,7901,3620,3683,2.44E+05,7438,5.98E+05,12899,5551,363,14244,3378,3753,7878,46719,20070,1360,966,805,74814,5897,10351,25026,1013,34874,44206,14651,41690,18925,83702,40609,81986,9485,23457,77926,50118,4.06E+05,14948,1864,21905,59988,3271,28875,3448,7130,849,3104,11165,56941,23600,67935,10917,1610,6243,745,41036,64646,6889,16693,1.07E+05,15741,15657,2.75E+05,46637,5913,2008,16171,11262,20441,5330,1371,2439,8456,2811,1161,5805,10621,17800,14895,3392,701,15610
190610_4:1,male,4/3/18,6/10/19,8/8/19,8/9/19,14.43,16.43,30.6,APOE44,N57515,N57516,19.2642475,21.90203321,23425,5540,4910,6929,5487,9393,9599,54968,45644,52134,77329,55365,17014,11729,4.69E+05,1.33E+05,23681,5322,1.11E+05,1.75E+05,49271,6031,2608,29757,1.71E+05,28905,63255,48303,63255,3102,16193,1.18E+05,1.66E+05,89206,17401,52131,1.86E+05,89077,36534,94565,53875,3.70E+05,45628,1.16E+05,33254,45408,4610,4373,39057,7488,3.71E+05,2107,86654,53298,60769,6422,7.44E+05,16829,1.09E+05,1.24E+05,2576,1.37E+05,23092,2.09E+05,1.33E+05,60075,7339,19812,65156,5564,16566,91057,16760,2480,4959,9412,13358,27156,6640,16991,1.90E+05,1.37E+05,6670,748,80723,4865,4946,4549,2.55E+05,9695,5.00E+05,13453,4810,274,11381,3795,3295,7398,43307,22776,3794,1653,767,65754,5655,8170,31854,506,33138,40195,12457,41662,17759,79161,45426,80481,9138,33385,69226,50046,4.19E+05,8679,3278,18642,66253,2651,20185,1644,6784,264,4399,10948,53434,30744,66997,19496,1837,6327,1066,42902,74561,7031,21466,1.00E+05,16358,16720,2.38E+05,64965,8393,1122,14987,10378,25756,8842,2180,2614,9426,4761,767,4674,12350,20799,9000,1723,1064,16029
190610_5:1,male,4/3/18,6/10/19,8/17/19,8/9/19,14.43,16.43,32.2,APOE44,N57520,N57521,19.00566791,21.71262475,10435,3777,1772,10216,3668,5602,25216,1.01E+05,64982,69009,90195,52995,33379,14204,4.96E+05,2.33E+05,15881,3816,1.28E+05,2.02E+05,48637,7353,2118,35997,2.78E+05,46177,1.04E+05,64390,80944,3801,13635,1.43E+05,1.92E+05,1.07E+05,12724,67141,2.74E+05,84309,44959,1.57E+05,36785,3.33E+05,54011,89554,26086,65383,6480,4167,60130,16272,4.44E+05,1034,1.09E+05,68910,72635,14078,9.63E+05,17843,1.51E+05,1.78E+05,3452,1.61E+05,24482,2.48E+05,2.32E+05,51707,5740,35893,68284,4742,19261,1.01E+05,21020,2486,5092,13551,16866,30453,4078,23517,2.06E+05,1.47E+05,8174,1659,82794,4954,4599,3169,2.46E+05,9519,6.26E+05,17973,5612,530,12489,4164,2798,7852,48004,18817,820,2195,834,76882,5997,12572,18143,1689,36166,40484,10417,58916,27968,1.03E+05,54701,1.13E+05,15475,45467,1.10E+05,70169,5.58E+05,14631,4068,34031,77901,6345,19092,2973,10601,880,2424,20731,50139,26644,74340,10318,4528,5202,987,40224,90302,10292,31856,95143,28964,16536,3.12E+05,59871,6085,1116,16882,13860,25826,6231,3110,1968,6251,5793,1012,5473,15881,19844,13106,3273,2757,18922
